logged_at,pair,direction,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,pnl,running_trades,running_win_rate_pct,running_pf,running_net_pnl_pct
2026-08-11T09:32:01.527652+00:00,XAUUSD_DERIV,short,2026-07-13T08:00:00+00:00,4074.37000,4108.78800,4031.34751,2026-07-13T14:00:00+00:00,4031.39751,TP,105.47,1,100.00,undef,1.05
2026-08-11T09:32:01.528241+00:00,XAUUSD_DERIV,short,2026-07-14T03:00:00+00:00,4016.53000,4048.36322,3976.73847,2026-07-14T12:00:00+00:00,4048.41322,SL,-79.38,2,50.00,1.329,0.26
2026-08-11T09:32:01.530132+00:00,XAUUSD_DERIV,short,2026-07-15T01:00:00+00:00,4037.34000,4069.06043,3997.68946,2026-07-15T12:00:00+00:00,4069.11043,SL,-78.69,3,33.33,0.667,-0.53
2026-08-11T09:32:01.530407+00:00,XAUUSD_DERIV,short,2026-07-15T16:00:00+00:00,4033.71000,4066.33509,3992.92864,2026-07-15T18:00:00+00:00,4066.38509,SL,-81.01,4,25.00,0.441,-1.34
2026-08-11T09:32:01.530732+00:00,XAUUSD_DERIV,short,2026-07-16T00:00:00+00:00,4044.42000,4075.72419,4005.28977,2026-07-16T12:00:00+00:00,4005.33977,TP,96.63,5,40.00,0.845,-0.37
2026-08-11T09:32:01.531008+00:00,XAUUSD_DERIV,short,2026-07-16T12:00:00+00:00,3992.81000,4024.58633,3953.08959,2026-07-20T02:00:00+00:00,4024.63633,SL,-79.71,6,33.33,0.634,-1.17
2026-08-11T09:32:01.531267+00:00,XAUUSD_DERIV,short,2026-07-20T06:00:00+00:00,4003.70000,4036.18471,3963.09412,2026-07-20T11:00:00+00:00,4036.23471,SL,-81.26,7,28.57,0.505,-1.98
2026-08-11T09:32:01.531520+00:00,XAUUSD_DERIV,short,2026-07-20T12:00:00+00:00,4008.01000,4039.29528,3968.90340,2026-07-21T02:00:00+00:00,4039.34528,SL,-78.18,8,25.00,0.423,-2.76
2026-08-11T09:32:01.531770+00:00,XAUUSD_DERIV,short,2026-07-22T22:00:00+00:00,4121.61000,4152.68700,4082.76375,2026-07-23T11:00:00+00:00,4082.81375,TP,94.13,9,33.33,0.619,-1.82
2026-08-11T09:32:01.532015+00:00,XAUUSD_DERIV,short,2026-07-24T07:00:00+00:00,4048.15000,4073.47718,4016.49103,2026-07-24T15:00:00+00:00,4073.52718,SL,-62.69,10,30.00,0.548,-2.45
2026-08-11T09:32:01.532256+00:00,XAUUSD_DERIV,short,2026-07-24T18:00:00+00:00,4054.22000,4079.86481,4022.16398,2026-07-27T00:00:00+00:00,4079.91481,SL,-63.38,11,27.27,0.490,-3.08
2026-08-11T09:32:01.532493+00:00,XAUUSD_DERIV,short,2026-07-27T13:00:00+00:00,4074.15000,4102.03969,4039.28788,2026-07-28T05:00:00+00:00,4039.33788,TP,85.45,12,33.33,0.632,-2.23
2026-08-11T09:32:01.532743+00:00,XAUUSD_DERIV,short,2026-07-28T08:00:00+00:00,4045.28000,4068.21575,4016.61031,2026-07-28T14:00:00+00:00,4016.66031,TP,70.75,13,38.46,0.749,-1.52
2026-08-11T09:32:01.533086+00:00,XAUUSD_DERIV,short,2026-07-28T16:00:00+00:00,4037.42000,4064.96486,4002.98892,2026-07-29T13:00:00+00:00,4003.03892,TP,85.16,14,42.86,0.890,-0.67
2026-08-11T09:32:01.533666+00:00,XAUUSD_DERIV,short,2026-07-29T13:00:00+00:00,4006.86000,4032.85410,3974.36737,2026-07-29T17:00:00+00:00,4032.90410,SL,-65.00,15,40.00,0.803,-1.32
2026-08-11T09:32:01.534297+00:00,XAUUSD_DERIV,short,2026-07-30T04:00:00+00:00,4045.86000,4089.60648,3991.17690,2026-07-30T13:00:00+00:00,4089.65648,SL,-108.25,16,37.50,0.691,-2.40
2026-08-11T09:32:01.534646+00:00,XAUUSD_DERIV,short,2026-07-31T01:00:00+00:00,4084.26000,4121.32794,4037.92508,2026-07-31T13:00:00+00:00,4037.97508,TP,113.33,17,41.18,0.837,-1.27
2026-08-11T09:32:01.534919+00:00,XAUUSD_DERIV,short,2026-07-31T17:00:00+00:00,4053.47000,4084.73627,4014.38716,2026-08-04T13:00:00+00:00,4084.78627,SL,-77.26,18,38.89,0.761,-2.04
2026-08-11T09:32:01.535175+00:00,XAUUSD_DERIV,long,2026-08-06T11:00:00+00:00,4263.73000,4225.52688,4311.48390,2026-08-06T16:00:00+00:00,4225.47688,SL,-89.72,19,36.84,0.689,-2.94
2026-08-11T09:32:01.535430+00:00,XAUUSD_DERIV,long,2026-08-06T23:00:00+00:00,4252.69000,4215.73997,4298.87754,2026-08-07T08:00:00+00:00,4298.82754,TP,108.49,20,40.00,0.804,-1.85
2026-08-11T09:32:01.535684+00:00,XAUUSD_DERIV,long,2026-08-10T01:00:00+00:00,4322.81000,4283.35254,4372.13183,2026-08-10T18:00:00+00:00,4372.08183,TP,113.98,21,42.86,0.925,-0.71
2026-08-11T19:47:30.103903+00:00,XAUUSD_DERIV,short,2026-07-14T04:00:00+00:00,4020.11000,4051.28828,3981.13714,2026-07-14T12:00:00+00:00,4051.33828,SL,-77.68,22,40.91,0.854,-1.49
2026-08-12T09:03:10.193789+00:00,XAUUSD_DERIV,short,2026-07-14T07:00:00+00:00,4020.67000,4050.67222,3983.16723,2026-07-14T12:00:00+00:00,4050.72222,SL,-74.74,23,39.13,0.796,-2.24
2026-08-12T13:29:26.747200+00:00,XAUUSD_DERIV,long,2026-08-11T10:00:00+00:00,4382.71000,4347.02354,4427.31808,2026-08-12T12:00:00+00:00,4427.26808,TP,101.67,24,41.67,0.889,-1.22
2026-08-12T18:57:49.037046+00:00,XAUUSD_DERIV,long,2026-08-12T12:00:00+00:00,4437.51000,4402.33183,4481.48271,2026-08-12T16:00:00+00:00,4402.28183,SL,-79.39,25,40.00,0.829,-2.01
